date,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,night1,night2,night3,night4,night5,night6,night7,night8,night9,night10,weather1,weather2,weather3,weather4,weather5,weather6,weather7,weather8,weather9,weather10
2024-05-15,18,20,19,18,20,21,19,15,15,14,8,14,10,8,10,13,9,7,7,8,Облачно с прояснениями,Небольшой дождь,Облачно с прояснениями,Ясно,Ясно,Ясно,Облачно с прояснениями,Ясно,Ясно,Облачно с прояснениями
2024-05-16,21,21,19,21,22,22,21,19,20,22,14,10,9,11,13,12,10,8,11,11,Небольшой дождь,Облачно с прояснениями,Ясно,Ясно,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями,Ясно,Ясно,Облачно с прояснениями
2024-05-17,21,19,20,24,23,24,21,20,24,19,10,9,11,13,13,13,10,12,14,11,Облачно с прояснениями,Ясно,Ясно,Ясно,Облачно с прояснениями,Ясно,Ясно,Ясно,Ясно,Облачно с прояснениями
2024-05-18,19,20,24,23,22,21,21,22,23,22,10,11,15,13,11,10,11,12,13,10,Ясно,Ясно,Ясно,Небольшой дождь,Облачно с прояснениями,Ясно,Ясно,Ясно,Облачно с прояснениями,Облачно с прояснениями
2024-05-19,21,24,24,24,19,21,24,23,23,23,11,15,14,11,8,10,14,13,13,14,Ясно,Ясно,Небольшой дождь,Ясно,Ясно,Ясно,Ясно,Ясно,Ясно,Облачно с прояснениями
2024-05-20,25,24,22,20,22,25,26,25,25,25,15,13,9,10,12,14,13,15,14,14,Ясно,Небольшой дождь,Ясно,Ясно,Ясно,Ясно,Ясно,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями
2024-05-21,24,22,19,21,24,27,22,21,23,25,13,10,9,11,13,14,12,12,14,14,Небольшой дождь,Ясно,Ясно,Ясно,Ясно,Ясно,Облачно с прояснениями,Облачно с прояснениями,Ясно,Облачно с прояснениями
2024-05-22,23,20,22,23,27,24,25,23,24,24,10,10,12,12,16,14,14,13,14,15,Ясно,Ясно,Ясно,Ясно,Ясно,Облачно с прояснениями,Облачно с прояснениями,Ясно,Облачно с прояснениями,Облачно с прояснениями
2024-05-23,21,22,24,23,23,25,28,28,28,25,11,11,14,11,12,14,17,17,16,16,Ясно,Ясно,Ясно,Облачно с прояснениями,Ясно,Ясно,Ясно,Облачно с прояснениями,Облачно с прояснениями,Ясно
2024-05-24,22,24,23,23,25,28,28,28,25,24,11,14,11,12,14,17,17,16,16,17,Ясно,Ясно,Облачно с прояснениями,Ясно,Ясно,Ясно,Облачно с прояснениями,Облачно с прояснениями,Ясно,Облачно с прояснениями
2024-05-25,25,24,23,26,28,28,27,25,23,23,14,12,13,15,16,16,16,16,15,15,Ясно,Небольшой дождь,Ясно,Ясно,Ясно,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями
2024-05-26,25,23,26,28,28,28,27,26,24,23,12,13,16,18,17,18,17,17,17,16,Дождь,Ясно,Ясно,Небольшой дождь,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями,Небольшой дождь,Облачно с прояснениями
2024-05-27,23,26,28,28,28,27,26,24,23,23,13,16,18,17,18,17,17,17,16,14,Ясно,Ясно,Небольшой дождь,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями,Небольшой дождь,Облачно с прояснениями,Небольшой дождь
2024-05-28,26,28,28,28,26,27,24,22,23,26,15,18,18,18,18,18,16,14,14,16,Ясно,Ясно,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями,Ясно
2024-05-29,28,28,28,25,28,25,24,22,22,19,17,18,18,17,18,17,17,14,12,12,Ясно,Облачно с прояснениями,Небольшой дождь,Небольшой дождь,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями,Небольшой дождь,Облачно с прояснениями,Облачно с прояснениями
2024-05-30,28,29,25,27,24,24,25,23,21,21,18,19,17,17,16,16,16,15,14,14,Облачно с прояснениями,Облачно с прояснениями,Небольшой дождь,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями,Небольшой дождь,Небольшой дождь,Небольшой дождь,Облачно с прояснениями
2024-05-31,28,29,28,25,23,26,25,24,25,25,18,18,18,16,16,17,16,15,16,14,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями,Облачно с прояснениями
2024-06-01,29,26,24,23,26,22,19,20,23,25,18,18,17,16,18,14,13,12,16,15,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Облачно с прояснениями,Небольшой дождь
2024-06-02,27,24,23,27,25,22,22,21,19,21,19,16,17,17,17,13,15,12,13,14,Облачно с прояснениями,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Облачно с прояснениями,Облачно с прояснениями,Небольшой дождь,Небольшой дождь,Небольшой дождь
2024-06-03,25,23,26,25,24,22,22,21,22,23,16,17,18,17,13,14,13,13,14,16,Небольшой дождь,Небольшой дождь,Облачно с прояснениями,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Облачно с прояснениями,Небольшой дождь,Небольшой дождь
2024-06-04,24,26,25,23,22,23,23,23,22,22,17,18,17,14,14,18,14,14,14,15,Небольшой дождь,Небольшой дождь,Небольшой дождь,Облачно с прояснениями,Ясно,Небольшой дождь,Небольшой дождь,Ясно,Небольшой дождь,Небольшой дождь
2024-06-05,27,24,21,22,23,24,21,22,23,22,19,17,14,14,16,16,15,15,15,14,Облачно с прояснениями,Небольшой дождь,Небольшой дождь,Небольшой дождь,Облачно с прояснениями,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь
2024-06-06,25,22,22,22,20,23,24,22,23,20,17,14,15,16,17,16,16,16,15,13,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь
2024-06-07,22,23,23,24,23,22,24,24,23,23,15,14,15,18,17,16,16,16,15,14,Небольшой дождь,Облачно с прояснениями,Облачно с прояснениями,Небольшой дождь,Гроза,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь
2024-06-08,23,22,23,24,24,25,22,24,24,24,14,15,19,16,18,17,17,16,17,16,Небольшой дождь,Облачно с прояснениями,Небольшой дождь,Гроза,Гроза,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь
2024-06-09,22,23,24,25,20,23,23,23,23,24,15,19,19,18,15,17,16,15,16,17,Облачно с прояснениями,Небольшой дождь,Гроза,Гроза,Дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь
2024-06-10,23,24,24,22,24,22,22,24,25,25,19,19,16,16,15,16,15,16,18,17,Гроза,Гроза,Гроза,Гроза,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь
2024-06-11,24,25,19,24,23,25,25,24,25,25,19,18,15,15,15,16,17,17,18,16,Дождь с грозой,Дождь с грозой,Дождь с грозой,Облачно с прояснениями,Небольшой дождь,Облачно с прояснениями,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь
2024-06-12,27,22,23,23,24,25,25,26,27,24,19,15,16,15,17,17,17,16,16,17,Дождь с грозой,Дождь с грозой,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь
2024-06-13,22,22,25,25,24,23,24,25,25,22,15,15,16,18,19,18,17,17,16,14,Дождь с грозой,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь
2024-06-14,23,25,26,24,22,26,26,25,22,24,15,18,19,19,18,18,16,15,15,14,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь
2024-06-15,25,26,23,23,27,26,20,22,23,21,18,19,19,18,18,14,14,17,16,14,Небольшой дождь,Облачно с прояснениями,Дождь с грозой,Дождь с грозой,Облачно с прояснениями,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь
2024-06-16,26,24,23,26,21,20,22,22,19,23,19,19,17,19,13,14,16,14,14,14,Облачно с прояснениями,Дождь с грозой,Дождь,Облачно с прояснениями,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь
